Country,Year,Condition,Sex,Age Group,Deaths
England and Wales,2014,Accidental injuries,Male,<1   ,15
England and Wales,2014,Accidental injuries,Male,01-04,29
England and Wales,2014,Accidental injuries,Male,05-09,8
England and Wales,2014,Accidental injuries,Male,10-14,16
England and Wales,2014,Accidental injuries,Male,15-19,73
England and Wales,2014,Accidental injuries,Male,20-24,160
England and Wales,2014,Accidental injuries,Male,25-29,262
England and Wales,2014,Accidental injuries,Male,30-34,318
England and Wales,2014,Accidental injuries,Male,35-39,423
England and Wales,2014,Accidental injuries,Male,40-44,441
England and Wales,2014,Accidental injuries,Male,45-49,448
England and Wales,2014,Accidental injuries,Male,50-54,315
England and Wales,2014,Accidental injuries,Male,55-59,288
England and Wales,2014,Accidental injuries,Male,60-64,267
England and Wales,2014,Accidental injuries,Male,65-69,265
England and Wales,2014,Accidental injuries,Male,70-74,302
England and Wales,2014,Accidental injuries,Male,75-79,444
England and Wales,2014,Accidental injuries,Male,80-84,674
England and Wales,2014,Accidental injuries,Male,85-89,734
England and Wales,2014,Accidental injuries,Male,90+  ,695
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,<1   ,1
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,01-04,2
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,05-09,0
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,10-14,3
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,15-19,0
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,20-24,0
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,25-29,9
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,30-34,14
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,35-39,26
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,40-44,34
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,45-49,43
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,50-54,52
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,55-59,79
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,60-64,97
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,65-69,178
England and Wales,2014,"Acute abdomen, appendicitis, intestinal obstruction etc",Male,70-74,205
England and Wales,2014,Addisons disease,Male,<1   ,0
England and Wales,2014,Addisons disease,Male,01-04,0
England and Wales,2014,Addisons disease,Male,05-09,0
England and Wales,2014,Addisons disease,Male,10-14,0
England and Wales,2014,Addisons disease,Male,15-19,0
England and Wales,2014,Addisons disease,Male,20-24,1
England and Wales,2014,Addisons disease,Male,25-29,0
England and Wales,2014,Addisons disease,Male,30-34,0
England and Wales,2014,Addisons disease,Male,35-39,1
England and Wales,2014,Addisons disease,Male,40-44,0
England and Wales,2014,Addisons disease,Male,45-49,0
England and Wales,2014,Addisons disease,Male,50-54,1
England and Wales,2014,Addisons disease,Male,55-59,0
England and Wales,2014,Addisons disease,Male,60-64,0
England and Wales,2014,Addisons disease,Male,65-69,2
England and Wales,2014,Addisons disease,Male,70-74,1
England and Wales,2014,Alcohol related diseases,Male,<1   ,0
England and Wales,2014,Alcohol related diseases,Male,01-04,0
England and Wales,2014,Alcohol related diseases,Male,05-09,0
England and Wales,2014,Alcohol related diseases,Male,10-14,0
England and Wales,2014,Alcohol related diseases,Male,15-19,0
England and Wales,2014,Alcohol related diseases,Male,20-24,3
England and Wales,2014,Alcohol related diseases,Male,25-29,20
England and Wales,2014,Alcohol related diseases,Male,30-34,67
England and Wales,2014,Alcohol related diseases,Male,35-39,182
England and Wales,2014,Alcohol related diseases,Male,40-44,319
